date,win,podium,boatname,delta,ref,grp
2011-09-04,419.8,424.33,LW2x,-69.14999999999998,M4-,M4-vLW2x
2011-09-04,355.18,358.44,M4-,-3.259999999999991,M4-,M4-vM4-
2011-09-04,446.64,450.68,W1x,-95.5,M4-,M4-vW1x
2012-08-01,348.75,351.18,M8+,-2.430000000000007,M8+,M8+vM8+
2012-08-01,447.13,450.19,W2-,-101.44,M8+,M8+vW2-
2012-08-01,395.93,400.63,W4x,-51.879999999999995,M8+,M8+vW4x
2012-08-02,391.67,394.35,M2x,-23.760000000000048,W8+,W8+vM2x
2012-08-02,370.59,373.12,W8+,-2.5300000000000296,W8+,W8+vW8+
2012-08-03,417.82,423.28,M1x,-80.79999999999995,M4x,M4xvM1x
2012-08-03,376.65,381.77,M2-,-39.289999999999964,M4x,M4xvM2-
2012-08-03,342.48,345.22,M4x,-2.740000000000009,M4x,M4xvM4x
2012-08-03,415.82,427.92,W2x,-85.44,M4x,M4xvW2x
2012-08-04,397.17,400.86,LM2x,-36.889999999999986,M4-,M4-vLM2x
2012-08-04,429.3,432.09,LM2x,-68.11999999999995,M4-,M4-vLM2x
2012-08-04,363.97,367.2,M4-,-3.2299999999999613,M4-,M4-vM4-
2012-08-04,474.37,478.04,W1x,-114.07,M4-,M4-vW1x
2013-08-30,403.15,409.26,W4-,-6.110000000000014,W4-,W4-vW4-
2013-08-31,396.04,398.04,LM2x,-22.090000000000032,M4-,M4-vLM2x
2013-08-31,437.31,442.24,LW2x,-63.360000000000014,M4-,M4-vLW2x
2013-08-31,394.98,405.67,M2-,-21.03000000000003,M4-,M4-vM2-
2013-08-31,373.95,375.46,M4-,0,M4-,M4-vM4-
2013-08-31,353.57,354.78,M4x,20.379999999999995,M4-,M4-vM4x
2013-08-31,442.82,447.58,W2-,-68.87,M4-,M4-vW2-
2013-08-31,401.86,406.27,W4x,-27.910000000000025,M4-,M4-vW4x
2013-09-01,405.24,409.39,M1x,-79.03999999999996,M8+,M8+vM1x
2013-09-01,369.51,372.54,M2x,-42.19,M8+,M8+vM2x
